,coordinate,ip,country,timest,os,connection_type,accuracy,event_type,gps_speed,app_id,count
4352,53.5082|-113.6365,68.150.186.27,CAN,1601554675,android,wifi,18,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
4353,47.5011|-52.8037,159.2.120.25,CAN,1601556256,android,wifi,4,GPS,"\\""""",8a38ea503212a1bc3ed9011e59475147,1
4354,51.4696|-112.7385,50.99.186.220,CAN,1601553880,android,wifi,13,GPS,"\\""""",8a38ea503212a1bc3ed9011e59475147,1
4355,50.4554|-104.6117,65.87.241.229,CAN,1601556795,android,wifi,9,GPS,"\\""""",1987c5fa941e88221b4da52528864664,2
4356,43.6491|-79.6188,"\\""""",CAN,1601554272,android,na,4,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4357,42.1099|-82.6114,104.247.68.130,CAN,1601555088,ios,wifi,5,GPS,"\\""""",15a8371fd8bb4a5ec91c62907871594b,1
4358,43.6137|-79.5489,"\\""""",CAN,1601554820,android,na,9,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4359,51.0158|-114.1597,75.159.59.153,CAN,1601553886,android,wifi,8,GPS,"\\""""",7993ed4e315bb654b139abcd44154bac,1
4360,46.1006|-71.2973,142.113.76.212,CAN,1601554724,android,na,11,GPS,"\\""""",9111daff59cc5460975f5f83e08a5345,1
4361,45.5279|-73.5613,67.69.76.4,CAN,1601556650,ios,na,10,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4362,43.6644|-79.3769,142.116.69.50,CAN,1601554436,ios,wifi,12,GPS,"\\""""",011a6a6ee196da7e165c4f5e9fcab275,1
4363,49.2713|-102.9931,"\\""""",CAN,1601557176,android,na,3,GPS,"\\""""",30ae46dc565c1bcffa05ee524938d5b2,1
4364,45.3078|-71.8926,142.169.78.129,CAN,1601556623,android,carrier,26,GPS,"\\""""",fcf8857d7a5cc725f08ef518f8279ecc,1
4365,45.5887|-62.6516,134.41.119.245,CAN,1601555370,android,wifi,33,GPS,"\\""""",8a38ea503212a1bc3ed9011e59475147,1
4366,46.3094|-66.7169,"\\""""",CAN,1601553911,android,na,9,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4367,43.2072|-79.6480,24.36.115.3,CAN,1601556542,android,wifi,8213,GPS,"\\""""",8a38ea503212a1bc3ed9011e59475147,1
4368,51.9114|-108.8706,207.195.86.58,CAN,1601555061,android,carrier,6,GPS,"\\""""",694feedf5a4535ea0199f592e670b3f7,1
4369,43.7089|-79.3964,174.88.151.217,CAN,1601556907,ios,na,14,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4370,49.2252|-124.0125,96.54.172.18,CAN,1601556220,android,wifi,5960,GPS,"\\""""",8a38ea503212a1bc3ed9011e59475147,2
4371,43.6501|-79.4394,64.228.203.208,CAN,1601553640,android,wifi,15,GPS,"\\""""",8a38ea503212a1bc3ed9011e59475147,1
4372,49.3592|-123.2685,50.92.25.49,CAN,1601556938,ios,carrier,10,GPS,"\\""""",2bac758857892925a59b6c19eaf583bd,1
4373,42.9386|-81.3038,99.242.132.78,CAN,1601554709,ios,wifi,8,GPS,"\\""""",15a8371fd8bb4a5ec91c62907871594b,1
4374,48.4277|-71.0618,"\\""""",CAN,1601555535,android,na,3,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4375,43.5765|-79.7455,72.138.221.103,CAN,1601554335,ios,wifi,6,GPS,"\\""""",6ba29b9ef74bc71ed65531acc14cb5ca,1
4376,49.0207|-122.8015,24.85.220.92,CAN,1601556079,android,na,14,GPS,"\\""""",1458f5833e87a50e69ddd51d9f3853ed,2
4377,45.2804|-66.0808,159.2.206.248,CAN,1601556248,android,wifi,3,GPS,"\\""""",e9c8a48c2d23e7faf50d705cc7624c75,1
4378,50.5055|-116.0093,174.0.66.227,CAN,1601555608,android,wifi,12,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
4379,43.6530|-79.6256,"\\""""",CAN,1601554682,ios,na,8,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4380,43.7561|-79.4095,104.145.7.2,CAN,1601555787,ios,wifi,7,GPS,"\\""""",15a8371fd8bb4a5ec91c62907871594b,1
4381,55.9400|-113.7758,199.87.51.76,CAN,1601554469,ios,na,5,GPS,"\\""""",9111daff59cc5460975f5f83e08a5345,1
4382,49.2781|-123.0139,"\\""""",CAN,1601556064,android,na,17,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4383,49.8880|-119.4851,207.6.83.48,CAN,1601557127,ios,wifi,15,GPS,"\\""""",011a6a6ee196da7e165c4f5e9fcab275,1
4384,43.1124|-79.1026,50.101.253.222,CAN,1601553841,android,wifi,7,GPS,"\\""""",8a38ea503212a1bc3ed9011e59475147,1
4385,42.8543|-80.7481,"\\""""",CAN,1601555360,android,na,17,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4386,51.0928|-113.9654,"\\""""",CAN,1601557117,android,na,4,GPS,"\\""""",30ae46dc565c1bcffa05ee524938d5b2,1
4387,44.1276|-79.5594,72.136.109.10,CAN,1601555758,android,carrier,13,GPS,"\\""""",694feedf5a4535ea0199f592e670b3f7,1
4388,43.5941|-79.6426,72.136.123.234,CAN,1601556313,android,carrier,24,GPS,"\\""""",694feedf5a4535ea0199f592e670b3f7,1
4389,43.6764|-79.3576,173.32.246.196,CAN,1601556748,android,wifi,7,GPS,"\\""""",e9c8a48c2d23e7faf50d705cc7624c75,1
4390,47.2973|-53.2947,216.208.243.233,CAN,1601556970,android,carrier,7,GPS,"\\""""",902d9b540a6ef9d20edfe43a8ac451be,1
4391,49.2256|-123.0070,70.79.104.176,CAN,1601553839,ios,wifi,7,GPS,"\\""""",4d6bbc869b06056c93770ea4c2081d7c,1
4392,50.2495|-111.1685,70.65.208.219,CAN,1601556846,android,wifi,5,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
4393,43.7774|-79.5191,209.171.88.146,CAN,1601553892,android,carrier,19,GPS,"\\""""",694feedf5a4535ea0199f592e670b3f7,1
4394,52.3243|-112.7027,68.145.105.40,CAN,1601553640,android,wifi,925,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
